uf_codigo,uf_nome,uf,ano,populacao
12,Acre,ACRE,2024,880631
27,Alagoas,ALAGOAS,2024,3220104
16,Amapá,AMAPÁ,2024,802837
13,Amazonas,AMAZONAS,2024,4281209
29,Bahia,BAHIA,2024,14850513
23,Ceará,CEARÁ,2024,9233656
53,Distrito Federal,DISTRITO FEDERAL,2024,2982818
32,Espírito Santo,ESPÍRITO SANTO,2024,4102129
52,Goiás,GOIÁS,2024,7350483
21,Maranhão,MARANHÃO,2024,7010960
51,Mato Grosso,MATO GROSSO,2024,3836399
50,Mato Grosso do Sul,MATO GROSSO DO SUL,2024,2901895
31,Minas Gerais,MINAS GERAIS,2024,21322691
41,Paraná,PARANÁ,2024,11824665
25,Paraíba,PARAÍBA,2024,4145040
15,Pará,PARÁ,2024,8664306
26,Pernambuco,PERNAMBUCO,2024,9539029
22,Piauí,PIAUÍ,2024,3375646
33,Rio de Janeiro,RIO DE JANEIRO,2024,17219679
24,Rio Grande do Norte,RIO GRANDE DO NORTE,2024,3446071
43,Rio Grande do Sul,RIO GRANDE DO SUL,2024,11229915
11,Rondônia,RONDÔNIA,2024,1746227
14,Roraima,RORAIMA,2024,716793
42,Santa Catarina,SANTA CATARINA,2024,8058441
28,Sergipe,SERGIPE,2024,2291077
35,São Paulo,SÃO PAULO,2024,45973194
17,Tocantins,TOCANTINS,2024,1577342
